title,price
Placa Uno R3 Arduino + Cabo USB,"por R$ 119,23"
Placa Uno SMD Arduino + Cabo USB,"por R$ 75,91"
Placa Leonardo R3 Arduino + Cabo USB,"por R$ 94,53"
Placa Mega 2560 R3 Arduino + Cabo USB,"por R$ 217,08"
Placa Nano V3 Arduino Compatível,"por R$ 64,51"
Placa Micro R3 Arduino Compatível,"por R$ 131,47"
Placa Pro Micro ATmega32U4 Arduino Compatível,"por R$ 79,71"
Placa Pro Mini ATmega328 Arduino Compatível,"por R$ 69,26"
Nano V3 Arduino Compatível,"por R$ 51,21"
Pro Mini Arduino Compatível LGT8F328P,"por R$ 36,96"
Tag iButton TM F5 64 Bits - Chaveiro com codificação única,"por R$ 12,92"
Interruptor Liga/Desliga tipo Gangorra 10A/120 6A/250V - Preto,"por R$ 2,51"
Buzzer Ativo 5V Bip Contínuo PCI 12mm,"por R$ 3,66"
Micro Servo Motor 9g SG90 180° 1.6Kgf.cm de Posição,"por R$ 21,76"
Sensor Ultrassônico de Distância HC-SR04,"por R$ 13,78"
"Jack P4 (2,1x5,5mm) para Placas de Circuito Impresso","por R$ 1,51"
Sensor de Temperatura DS 18B20 à Prova D'Água,"por R$ 15,68"
Módulo Relé 5V 10A 1 Canal com Optoacoplador para ESP32 e Arduino,"por R$ 13,87"
"Jack P4 Plástico (2,1x5,5mm) para Paineis e Chassis","por R$ 2,80"
Leitor iButton DS9092 com LED para Controle de Acesso,"por R$ 29,93"
Motor DC 3-6V 200RPM com Caixa de Redução e Eixo Duplo 48:1,"por R$ 16,10"
Mini Bomba de Água para Arduino 12V RS385 2L/Min,"por R$ 59,76"
Módulo Conversor Amplificador HX711 24bit 2 Canais,"por R$ 11,88"
Display LCD 16x2 com fundo azul,"por R$ 27,46"
Fonte de Alimentação para Arduino 9VDC 1A Plug P4,"por R$ 19,86"
Conector DB9 Serial RS232 - Fêmea,"por R$ 2,51"
Motor DC 3V DC130 15000RPM 950mA,"por R$ 9,41"
Sensor de Nível de Água com Boia Horizontal,"por R$ 28,41"
Sensor Reflexivo Infravermelho TCRT5000 - Kit com 2 unidades,"por R$ 4,90"
Módulo Bluetooth HC-05 Arduino - Master/Slave,"por R$ 42,66"
Chave Alavanca MTS-102 3T 2 Posições 6A,"por R$ 4,89"
